pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_dens,st_rad,st_mass,st_lum,pl_class
K2-337 b,16.273563,0.123112,0.234,0.0232,2.25,1.32,0.94,0.25,Neptune-like
K2-338 b,3.850614,0.0418605,0.092,0.0034,5.43,0.63,0.66,-0.836,Super Earth
K2-339 b,19.507428,0.1282765,0.171,0.0137,3.38,0.72,0.74,-0.652,Super Earth
K2-34 b,2.9956348,0.0442,1.227,1.698,0.94,1.42,1.16,0.4,Gas Giant
K2-340 b,29.740451,0.1833704,0.3,0.0354,1.62,1.13,0.93,-0.002,Neptune-like
K2-341 b,36.552551,0.2141034,0.286,0.0327,1.73,1.16,0.98,0.126,Neptune-like
K2-342 b,11.561052,0.10039,0.181,0.015,3.14,1.09,1.01,0.093,Super Earth
K2-343 b,2.787174,0.030557,0.147,0.0106,4.11,0.46,0.49,-1.439,Super Earth
K2-343 c,7.676972,0.0600429,0.18,0.0149,3.16,0.46,0.49,-1.439,Super Earth
K2-344 b,3.35585,0.035047,0.142,0.00993,4.31,0.49,0.51,-1.225,Super Earth
K2-345 b,10.367437,0.0766973,0.188,0.016,2.98,0.52,0.56,-1.32,Neptune-like
K2-346 b,26.201446,0.154018,0.202,0.018,2.73,0.7,0.71,-0.663,Neptune-like
K2-347 b,7.187257,0.063459,0.215,0.0201,2.51,0.63,0.66,-0.894,Neptune-like
K2-348 b,4.688418,0.0515205,0.291,0.0336,1.7,0.85,0.83,-0.388,Neptune-like
K2-348 c,12.550171,0.099325,0.238,0.0239,2.2,0.85,0.83,-0.388,Neptune-like
K2-349 b,9.032178,0.069118,0.123,0.0078,5.19,0.49,0.54,-0.366,Super Earth
K2-35 b,2.399964,0.031,0.118,0.00724,5.5,0.62,0.7,-0.803,Super Earth
K2-35 c,5.608352,0.055,0.172,0.0138,3.35,0.62,0.7,-0.719,Super Earth
K2-350 b,4.163873,0.05031,0.137,0.0094,4.5,1.04,0.98,-0.012,Super Earth
K2-350 c,19.991944,0.14319,0.244,0.025,2.12,1.04,0.98,-0.012,Neptune-like
K2-351 b,7.806164,0.07752,0.227,0.022,2.34,1.05,1.02,0.024,Neptune-like
K2-352 b,3.665912,0.0462168,0.122,0.00771,5.24,0.95,0.98,-0.063,Super Earth
K2-352 c,8.234885,0.079271,0.171,0.0137,3.38,0.95,0.98,-0.063,Super Earth
K2-352 d,14.871387,0.117556,0.199,0.0176,2.77,0.95,0.98,-0.063,Neptune-like
K2-353 b,15.466805,0.1159783,0.495,0.0829,0.845,0.99,0.87,-0.076,Neptune-like
K2-354 b,3.793306,0.035928,0.139,0.00961,4.41,0.41,0.43,-1.614,Super Earth
K2-355 b,5.7385647,0.0632,0.201,0.0179,2.74,0.92,0.96,-0.115,Neptune-like
K2-356 b,21.0267366,0.1599,0.204,0.0184,2.68,0.86,0.9,-0.244,Neptune-like
K2-357 b,16.3488637,0.145,0.332,0.042,1.43,1,0.98,-0.066,Neptune-like
K2-358 b,11.2510285,0.0863,0.239,0.0241,2.18,0.91,0.93,-0.161,Neptune-like
K2-36 b,1.422614,0.02288,0.128,0.01353,8,0.72,0.79,-0.57,Super Earth
K2-36 c,5.340888,0.05528,0.285,0.02486,1.3,0.72,0.79,-0.57,Neptune-like
K2-365 b,23.448172,0.15006,0.259,0.0276,1.97,1.05,0.82,-0.014,Neptune-like
K2-366 b,15.937039,0.1164754,0.21,0.0194,2.58,0.94,0.83,-0.109,Neptune-like
K2-367 b,20.645099,0.1344061,0.215,0.0202,2.51,0.62,0.76,-0.854,Neptune-like
K2-368 b,5.025598,0.0521693,0.119,0.00735,5.44,0.66,0.75,-0.693,Super Earth
K2-368 c,9.660186,0.08065178,0.121,0.00762,5.27,0.66,0.75,-0.693,Super Earth
K2-368 d,20.201085,0.131888,0.174,0.014,3.31,0.66,0.75,-0.693,Super Earth
K2-369 b,5.761612,0.05663,0.117,0.00717,5.53,0.88,0.73,-0.121,Super Earth
K2-37 b,4.44117,0.0511,0.144,0.0101,4.24,0.85,0.9,-0.469,Super Earth
K2-37 c,6.42904,0.0654,0.245,0.0252,2.11,0.85,0.9,-0.408,Neptune-like
K2-37 d,14.09189,0.1103,0.244,0.0249,2.13,0.85,0.9,-0.469,Neptune-like
K2-370 b,2.14084,0.03229,0.286,0.0327,1.73,0.97,0.98,-0.127,Neptune-like
K2-371 b,3.114905,0.041177,1.162,,,0.74,0.96,-0.517,Gas Giant
K2-372 b,9.844077,0.08515,0.263,0.0283,1.93,0.92,0.85,-0.122,Neptune-like
K2-373 b,11.02066,0.1018343,0.184,0.0154,3.08,1.49,1.16,0.432,Super Earth
K2-374 b,4.521953,0.0481868,0.142,0.00996,4.3,0.91,0.73,-0.059,Super Earth
