pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_ratdor,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_class
CoRoT-4 b,CoRoT-4,1,1,9.20205,0.09,13.34,1.19,228.83,0.72,Mass,0.525,0,203.95,1074,90,17.36,0.1047,,6190,1.17,1.16,0.05,0.185,4.41,1,1.11,726.412,13.652,12.288,13.5613,Gas Giant
CoRoT-5 b,CoRoT-5,1,1,4.0378962,0.04947,15.558,1.388,148.42,0.467,Mass,0.217,0.09,786.29,1438,85.83,9.54,0.1155,F9 V,6100,1.19,1,-0.25,0.18,4.19,6.9,1.01,882.472,14.043,12.546,13.9021,Gas Giant
CoRoT-6 b,CoRoT-6,1,1,8.886593,0.0855,13.068,1.166,940.74,2.96,Mass,2.32,0.1,,1017,89.07,17.94,0.1169,F9 V,6090,1.03,1.05,-0.2,0.026,4.43,2.5,1.31,645.294,13.961,12.119,13.7459,Gas Giant
CoRoT-7 b,CoRoT-7,1,3,0.85359163,0.017016,1.681,0.15,4.07661,0.01283,Mass,9.355,0,,1756,80.1,4.26,0.0187,G9 V,5275,0.83,0.82,0.05,-0.289,4.5,1.8,2,159.906,11.728,9.806,11.5239,Super Earth
CoRoT-7 c,CoRoT-7,1,3,3.698,0.046,2.83,0.253,8.4,0.02643,Mass,2.04,0,,,80,,,G9 V,5256,0.86,0.9,0.06,-0.289,4.52,1.8,1.96324,159.906,11.728,9.806,11.5239,Neptune-like
CoRoT-7 d,CoRoT-7,1,3,8.966,,4.31,0.384,17.142,0.05393,Mass,1.18,,,,,,,G9 V,5250,0.84,0.92,0.02,-0.292,4.57,1.8,2.354,159.906,11.728,9.806,11.5239,Neptune-like
CoRoT-8 b,CoRoT-8,1,1,6.21229,0.063,6.39,0.57,69.92,0.22,Mass,1.6,0,,870,88.4,17.6,0.075,K1 V,5080,0.77,0.88,0.3,-0.4,4.58,3,2.7,322.037,14.792,11.463,14.2195,Gas Giant
CoRoT-9 b,CoRoT-9,2,1,95.272656,0.4021,11.949,1.066,266.9772,0.84,Mass,0.86,0.133,,420,89.9,89.9,0.11402,G3 V,5625,0.96,0.96,-0.01,-0.254,4.54,6,1.51,412.98,13.637,11.688,13.5008,Gas Giant
CoRoTID 223977153 b,CoRoTID 223977153,1,1,6.71837,0.071,6.389,0.57,47.6745,0.15,Mass,1.1,,132.26,938,89,11.69,0.054,G0 VI,5970,0.79,1.08,0,-0.155,4.67,,1.57283,576.683,13.626,12.193,13.5867,Gas Giant
DE CVn b,DE CVn,2,1,4098.1,5.75,12.4,1.1,3823.2733,12.0293,Msin(i)/sin(i),11,0,,,86,,,,3579,0.42,0.51,,-1.574,4.8,,7.71066,30.5225,12.956,8.555,11.9752,Gas Giant
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,246.36,0.36,11.9,1.06,9057.77,28.5,Mass,29.5,0.345,,,56.6,,,L1.5,,,0.07,,,,1,,20.77,,12.062,18.5577,Gas Giant
DH Tau b,DH Tau,1,1,,330,30.264,2.7,3496,11,Mass,0.693,,,2200,,,,M0.5,4371,0.27,0.33,,-0.212,4,0.001,0.37705,134.846,13.98,8.178001,12.4961,Gas Giant
DMPP-1 b,DMPP-1,1,4,18.57,0.1462,5.29,0.472,24.27,0.07636,Msini,0.901,0.083,,877,,,,F8 V,6196,1.26,1.21,,0.32,4.41,2.01,0.81281,62.5388,7.98,6.69,7.85032,Neptune-like
DMPP-1 c,DMPP-1,1,4,6.584,0.0733,3.06,0.273,9.6,0.0302,Msini,1.84,0.057,,1239,,,,F8 V,6196,1.26,1.21,,0.32,4.41,2.01,0.81281,62.5388,7.98,6.69,7.85032,Neptune-like
DMPP-1 d,DMPP-1,1,4,2.882,0.0422,1.65,0.147,3.35,0.01054,Msini,4.1,0.07,,1632,,,,F8 V,6196,1.26,1.21,,0.32,4.41,2.01,0.81281,62.5388,7.98,6.69,7.85032,Super Earth
DMPP-1 e,DMPP-1,1,4,5.516,0.0651,1.86,0.166,4.13,0.01299,Msini,3.53,0.07,,1314,,,,F8 V,6196,1.26,1.21,,0.32,4.41,2.01,0.81281,62.5388,7.98,6.69,7.85032,Super Earth
DMPP-2 b,DMPP-2,1,1,5.2072,0.0664,14.3,1.28,138.89171,0.437,Msini,0.261,0.078,,1000,,,,F5 V,6500,1.78,1.44,,0.104,4.1,2,0.24354,137.94,8.57,7.437,8.45824,Gas Giant
DMPP-3 A b,DMPP-3 A,2,1,6.6732,0.0662,1.41,0.126,2.58,0.00812,Msini,5.06,0.14,,854,,,,K0 V,5138,0.91,0.87,0.18,-0.293,4.3,10.9,,45.23,9.066,7.061,8.854298,Super Earth
DP Leo b,DP Leo,2,1,10220,8.19,12.7,1.14,1995.88832,6.28,Mass,5.35,0.39,,,,,,,13500,0.01,0.69,,-2.4,,,,305.684,18.6837,,18.6333,Gas Giant
DS Tuc A b,DS Tuc A,2,1,8.138268,,5.7,0.509,413.179,1.3,Mass,,0,115.83,850,89.5,20.35,0.05419,G6 V,5428,0.96,1.01,0,-0.14,4.6,0.045,2.4,44.0622,8.17,6.676,8.31926,Neptune-like
EPIC 201170410.02,EPIC 201170410,1,1,6.7987,0.0349,1.047,0.093,1.15,0.0036,M-R relationship,5.51,0,,,89.002,,0.034,,3648,0.28,0.29,-0.048,-1.9,5,,,134,17.6984,12.619,16.4386,Super Earth
EPIC 201238110 b,EPIC 201238110,1,1,28.1656,,1.87,0.167,4.16,0.0131,M-R relationship,3.5,,,,,61.5,0.0458,,3587,0.37,0.41,,-1.508,4.78,,6.73294,159.259,16.014,11.933,15.2612,Super Earth
EPIC 201427007 b,EPIC 201427007,1,1,0.72091,,1.5,0.134,2.86,0.00899,M-R relationship,4.66,,,,88.5,3.1,0.0142,,5633,0.94,0.93,-0.053,-0.049,4.4,,1.02055,706.391,14.321,12.581,14.147,Super Earth
EPIC 201497682 b,EPIC 201497682,1,1,2.13174,,0.692,0.062,0.26,0.00082,M-R relationship,4.31,,,,,,0.0115,,4991,0.55,0.78,-0.089,-0.766,4.63,,3.22926,253.026,13.948,11.438,13.7368,Terrestrial
EPIC 201595106 b,EPIC 201595106,1,1,0.877214,,1.3,0.116,2.24,0.00705,M-R relationship,5.6,,,1874,89.2,5.8,0.0126,,5820,0.93,1.02,-0.01,-0.026,4.6,,1.47541,232.1,11.746,10.218,11.6477,Super Earth
EPIC 201615463 c,K2-166,1,2,3.80464,,1.22,0.109,1.98,0.00624,M-R relationship,5.99,,,,,,0.0093,,5942.5,1.6,1.07,-0.051,0.458,4.09,,0.42293,476.882,12.081,10.637,11.9456,Super Earth
EPIC 201754305 d,K2-16,1,3,2.71578,,1.03,0.092,1.08,0.0034,M-R relationship,5.43,,,,,,0.015,K3 V,4761,0.54,0.67,-0.33,-0.761,4.63,,2.95996,334.967,14.668,12.087,14.3234,Super Earth
EPIC 201757695.02,EPIC 201757695,1,1,2.0478,0.0296,0.908,0.081,0.688,0.00217,M-R relationship,5.05,0,,,89.276,,0.0127,,4520,0.66,0.73,-0.003,-0.364,4.66,,,577.6,14.974,12.149,,Terrestrial
EPIC 201833600 c,K2-50,1,2,3.96151,,1,0.089,0.972,0.00306,M-R relationship,5.34,,,,,12.4,0.0168,,4292.67,0.63,0.61,-0.113,-0.874,4.74,,2.55179,257.443,14.705,11.664,14.2575,Terrestrial
EPIC 201841433 b,EPIC 201841433,1,1,4.1698,0.035,1.04,0.093,1.12,0.00352,M-R relationship,5.47,,,,89.001,11.5,0.0152,,5053,0.63,0.8,0,-0.635,4.59,,2.65207,436.488,14.983,12.454,14.5885,Super Earth
EPIC 205950854 c,K2-168,1,2,8.050722,,1.31,0.117,2.27,0.00714,M-R relationship,5.55,,,961,89.81,16.18,0.01258,,5502.7,0.83,0.88,-0.13,-0.176,4.39,,1.2704,243.935,12.365,10.549,12.0976,Super Earth
EPIC 206024342 b,EPIC 206024342,1,3,4.50756,,1.7,0.152,3.53,0.0111,M-R relationship,3.95,,,,,13.9,0.0147,,5724,0.82,0.93,-0.22,-0.17,4.59,,2.3828,369.888,13.096,11.487,12.9682,Super Earth
EPIC 206024342 c,EPIC 206024342,1,3,0.911724,,1.4,0.125,2.54,0.008,M-R relationship,5.09,,,,91.7,4.7,0.0117,,5724,1.1,0.93,-0.22,-0.17,4.5,,2.3828,369.888,13.096,11.487,12.9682,Super Earth
EPIC 206024342 d,EPIC 206024342,1,3,14.647531,,2.6,0.232,7.27,0.0229,M-R relationship,2.27,,,,90,29,0.0217,,5724,1.1,0.93,-0.22,-0.17,4.5,,2.3828,369.888,13.096,11.487,12.9682,Neptune-like
EPIC 206032309 b,EPIC 206032309,1,1,2.87814,,1.01,0.09,1.01,0.00317,M-R relationship,5.39,,,,,,0.0405,,3489,0.37,0.22,,-1.73,4.85,,9.77858,161.365,17.89,12.538,16.0689,Super Earth
EPIC 206042996 b,EPIC 206042996,1,2,5.2986,,1.7,0.152,3.53,0.0111,M-R relationship,3.95,,,,90.5,16,0.0303,,4114,0.5,0.57,0.006,-0.98,4.8,,2.90458,451.769,16.59,13.071,15.9752,Super Earth
EPIC 206042996 c,EPIC 206042996,1,2,0.354884,,1.2,0.107,1.87,0.00588,M-R relationship,5.95,,,,89.9,2.6,0.0223,,4114,0.5,0.57,0.006,-0.98,4.8,,2.90458,451.769,16.59,13.071,15.9752,Super Earth
EPIC 206215704 b,EPIC 206215704,1,1,2.255436,,1,0.089,0.972,0.00306,M-R relationship,5.34,,,,89.9,17,0.0383,,3297,0.25,0.41,-0.33,-2.088,4.9,,19.87982,109.888,17.83,12.767,16.1722,Terrestrial
EPIC 206317286 b,EPIC 206317286,1,2,1.58252,,0.96,0.086,0.84,0.00264,M-R relationship,5.22,,,,,6.1,0.0133,,4864,0.67,0.71,0.019,-0.593,4.6,,2.51975,314.35,14.005,11.635,13.774,Terrestrial
EPIC 206317286 c,EPIC 206317286,1,2,17.515472,,2.094,0.187,5.03,0.0158,M-R relationship,3.01,,,,,34.54,0.0253,,4752,0.76,0.83,0.019,-0.593,4.6,,2.51975,314.35,14.005,11.635,13.774,Super Earth
EPIC 211822797 b,EPIC 211822797,1,1,21.1701963,0.1195,1.92,0.171,4.35,0.0137,M-R relationship,3.38,0.06,3.5,431,89.73,44.37,0.0303,M0,4057,0.58,0.62,0.2,-1.153,4.7,0.79,3.87972,186.197,15.133,11.429,14.5263,Super Earth
EPIC 211945201 b,EPIC 211945201,1,1,19.49221,0.1493,5.76,0.514,27,0.08495,Mass,0.65,0,31.91,817,87.9,35.63,0.0379,G0,6069,1.39,1.17,0.1,0.373,4.22,3.99,2.253,181.69,10.154,8.837,10.0512,Neptune-like
EPIC 212297394 b,EPIC 212297394,1,2,2.289363,,1.48,0.132,2.79,0.00879,M-R relationship,4.73,,,1149,,8.53,0.0169,,5171,0.8,0.83,-0.03,-0.505,4.55,,2.50384,418.395,14.611,12.186,14.1864,Super Earth
EPIC 212297394 c,EPIC 212297394,1,2,5.213965,,2.27,0.203,5.77,0.0182,M-R relationship,2.71,,,866,,14.45,0.0258,,5171,0.8,0.83,-0.03,-0.467,4.55,,2.50384,418.395,14.611,12.186,14.1864,Neptune-like
EPIC 212424622 b,EPIC 212424622,1,1,18.0983,,2.17,0.194,5.35,0.0168,M-R relationship,2.88,,,,,27.9,0.0148,,5782.33,1.22,1.11,,0.179,4.3,,0.84195,611.804,13.441,11.775,13.2026,Neptune-like
EPIC 212499991 b,EPIC 212499991,1,1,34.885,,1.6,0.143,3.19,0.01,M-R relationship,4.28,,,,,,0.0193,,4982.79,0.76,0.91,,-0.497,4.61,,2.81669,283.29,13.672,11.366,13.3118,Super Earth
EPIC 212587672 b,EPIC 212587672,1,2,15.28078,,1.26,0.112,2.13,0.00669,M-R relationship,5.85,,,756,,30.75,0.0117,,6004,0.98,0.99,-0.18,0.006,4.45,,1.85888,320.07,12.488,10.857,12.2038,Super Earth
EPIC 212587672 c,EPIC 212587672,1,2,23.228555,,2.32,0.207,5.99,0.0189,M-R relationship,2.64,,,658,89.421,50.74,0.0215,,6004,0.98,0.99,-0.18,0.038,4.45,,1.85888,320.07,12.488,10.857,12.2038,Neptune-like
EPIC 212624936 b,EPIC 212624936,1,2,0.578657,,1.2,0.107,1.87,0.00588,M-R relationship,5.95,,,,90.3,3,0.0114,,5765,0.93,1,-0.39,-0.124,4.4,,1.85537,561.929,13.976,12.292,13.8326,Super Earth
EPIC 212624936 c,EPIC 212624936,1,2,11.811437,,2.3,0.205,5.9,0.0186,M-R relationship,2.66,,,,90,41,0.0226,,5765,0.93,1,-0.39,-0.124,4.4,,1.85537,561.929,13.976,12.292,13.8326,Neptune-like
EPIC 212737443 b,EPIC 212737443,1,2,13.603,0.098,2.586,0.231,7.2,0.0227,M-R relationship,2.29,0.2,,536,89.071,31.994,0.0352,K3,4684,0.67,0.69,-0.137,-0.751,4.62,,3.19,336.25,14.81,12.16,14.4776,Neptune-like
EPIC 212737443 c,EPIC 212737443,1,2,65.55,0.28,2.69,0.24,7.7,0.0242,M-R relationship,2.17,0.2,,316,89.63,91.172,0.0366,K3,4684,0.67,0.69,-0.137,-0.804,4.62,,3.19,336.25,14.81,12.16,14.4776,Neptune-like
EPIC 220492298 b,EPIC 220492298,1,1,0.762406,,0.99,0.088,0.937,0.00295,M-R relationship,5.31,,,,92.6,3.2,0.01,,5620,0.89,0.95,0.28,-0.009,4.5,,0.97092,624.512,13.991,12.168,13.7756,Terrestrial
EPIC 220554210 c,K2-282,1,2,0.70531,,1.6,0.143,3.19,0.01,M-R relationship,4.28,,,,91.3,3,0.0145,,5499,1,0.94,-0.23,-0.215,4.5,,1.442,496.289,14.21,12.002,13.8183,Super Earth
EPIC 220674823 b,EPIC 220674823,1,2,0.571292,0.01326,1.725,0.154,8.21,0.02583,Mass,8.77,0,4670,2300,86.4,2.892,0.01601,G5 V,5532,0.99,0.95,0.11,-0.119,4.45,7.5,1.35,244.59,12.101,10.344,11.9535,Super Earth
EPIC 220674823 c,EPIC 220674823,1,2,13.3397,0.1083,2.836,0.253,8.9,0.028,Mass,2.12,0.13,70,805,89.35,26.2,0.028,G5 V,5532,0.99,0.95,0.11,-0.119,4.45,7.5,1.35,244.59,12.101,10.344,11.9535,Neptune-like
EPIC 228836835 b,EPIC 228836835,1,1,0.728113,,1.1,0.098,1.37,0.0043,M-R relationship,5.66,,,932,89.7,6.4,0.0299,,3782,0.32,0.42,-0.18,-1.612,5,,7.73989,150.124,16.77,12.02,15.4185,Super Earth
EPIC 229004835 b,EPIC 229004835,1,1,16.141132,0.1237,2.332,0.208,10.4,0.03272,Mass,4.49,0.23,69.7,804,88.08,54.6,0.0184,,5868,1,0.97,-0.12,0.03,4.47,4.9,1.52564,121.971,10.23,8.725,10.0494,Super Earth
EPIC 246851721 b,EPIC 246851721,2,1,6.180235,0.07229,11.781,1.051,953.49,3,Mass,3.1,,642,1401,86.21,9.8,0.0681,F5 V,6202,1.59,1.32,0.141,0.526,4.16,3.02,0.465,372.632,11.237,9.893,11.2549,Gas Giant
EPIC 248847494 b,EPIC 248847494,1,1,3650,4.5,12.442,1.11,4131.79,13,Mass,,0,0.19,183,89.87,,0.042,,4898,2.7,0.9,-0.23,0.548,3.52,,0.064,551.886,12.353,10.148,12.1722,Gas Giant
EPIC 249893012 b,EPIC 249893012,1,3,3.5951,0.047,1.95,0.174,8.75,0.02753,Mass,6.39,0.06,1037,1616,86.14,5.93,0.0104,G8 IV/V,5430,1.71,1.05,0.2,0.356,3.99,9,0.298,321.296,11.429,9.714,11.4019,Super Earth
EPIC 249893012 c,EPIC 249893012,1,3,15.624,0.13,3.67,0.327,14.67,0.04616,Mass,1.62,0.07,160,990,87.94,15.79,0.0197,G8 IV/V,5430,1.71,1.05,0.2,0.356,3.99,9,0.298,321.296,11.429,9.714,11.4019,Neptune-like
EPIC 249893012 d,EPIC 249893012,1,3,35.747,0.22,3.94,0.352,10.18,0.03203,Mass,0.91,0.15,53,752,89.47,27.42,0.0211,G8 IV/V,5430,1.71,1.05,0.2,0.356,3.99,9,0.298,321.296,11.429,9.714,11.4019,Neptune-like
FU Tau b,FU Tau,1,1,,800,12.2,1.09,5085.28,16,Mass,15.4,,,2375,,,,M7.25,2838,,0.05,,-0.699,,0.001,,133.4950466,,9.324,15.2412,Gas Giant
G 264-012 b,G 264-012,1,2,2.30538,0.02279,1.39,0.124,2.5,0.00787,Msini,5.12,,20.5,587,,,,M4.0 V,3326,0.3,0.3,0.1,-1.972,4.85,,13.25922,16.009,13.078,7.986,11.7617,Super Earth
G 264-012 c,G 264-012,1,2,8.0518,0.0525,1.76,0.157,3.75,0.0118,Msini,3.78,,3.87,387,,,,M4.0 V,3326,0.3,0.3,0.1,-1.972,4.85,,13.25922,16.009,13.078,7.986,11.7617,Super Earth
G 9-40 b,G 9-40,1,1,5.746007,0.0385,2.025,0.181,11.7,0.03681,Mass,,0,7.2,456,88.57,27,0.0605,M2.5 V,3348,0.31,0.29,0.04,-1.971,4.93,9.9,14.11,27.9276,13.821,9.19,12.7331,Neptune-like
GJ 1002 b,GJ 1002,1,2,10.3465,0.0457,1.03,0.092,1.08,0.0034,Msini,5.43,,0.67,231,,,,M5.5 V,3024,0.14,0.12,-0.25,-2.852,5.1,,55.44255,4.84867,13.76,7.439,11.7804,Super Earth
GJ 1002 c,GJ 1002,1,2,21.202,0.0738,1.1,0.098,1.36,0.00428,Msini,5.61,,0.26,182,,,,M5.5 V,3024,0.14,0.12,-0.25,-2.852,5.1,,55.44255,4.84867,13.76,7.439,11.7804,Super Earth
GJ 1061 b,GJ 1061,1,3,3.204,0.021,1.1,0.098,1.37,0.00431,Msini,5.66,0.31,3.8,,,,,M5.5 V,2953,0.16,0.12,-0.08,-2.77,5.16,7,47.5619,3.67278,12.7,6.61,10.9889,Super Earth
GJ 1061 c,GJ 1061,1,3,6.689,0.035,1.18,0.105,1.74,0.00547,Msini,5.82,0.29,1.4,,,,,M5.5 V,2953,0.16,0.12,-0.08,-2.77,5.16,7,47.5619,3.67278,12.7,6.61,10.9889,Super Earth
GJ 1061 d,GJ 1061,1,3,13.031,0.054,1.16,0.103,1.64,0.00516,Msini,5.77,0.53,0.6,,,,,M5.5 V,2953,0.16,0.12,-0.08,-2.77,5.16,7,47.5619,3.67278,12.7,6.61,10.9889,Super Earth
GJ 1132 b,GJ 1132,1,2,1.628931,0.0153,1.13,0.101,1.66,0.00522,Mass,6.3,0.22,20.96,529,86.58,16,0.05041,M4.5 V,3270,0.21,0.18,-0.12,-2.359,4.88,5,15.4,12.613,13.68,8.322,12.138,Super Earth
GJ 1132 c,GJ 1132,1,2,8.929,0.0476,1.43,0.128,2.64,0.00831,Msini,4.96,0.27,,300,,,,M4.5 V,3270,0.21,0.18,-0.12,-2.359,5.02,5,23.78462,12.613,13.68,8.322,12.138,Super Earth
GJ 1148 b,GJ 1148,1,2,41.38,0.166,11.9,1.07,96.7,0.30425,Msini,0.315,0.38,,,,,,M5,3287,0.36,0.34,0.16,-1.869,4.87,,10.52554,11.0143,11.939,6.822,10.5769,Gas Giant
GJ 1148 c,GJ 1148,1,2,532.58,0.912,9.71,0.866,68.06,0.21414,Msini,0.409,0.342,,,,,,M5,3287,0.36,0.34,0.16,-1.869,4.87,,10.52554,11.0143,11.939,6.822,10.5769,Gas Giant
GJ 1151 c,GJ 1151,1,1,389.7,0.5714,3.25,0.29,10.62,0.03341,Msini,1.7,,,,,,,M 4.5V,3280,0.18,0.16,-0.12,-2.48,5.09,,29.34709,8.03625,13.76,7.637,11.6938,Neptune-like
GJ 1214 b,GJ 1214,1,1,1.58040433,0.0149,2.742,0.245,8.17,0.02571,Mass,2.2,0.063,21,596,88.7,14.85,0.116,M4 V,3250,0.21,0.18,0.29,-2.337,5.03,3,25.4,14.6427,15.1,8.782,13.0089,Neptune-like
GJ 1252 b,GJ 1252,1,1,0.5182331,0.00915,1.193,0.106,1.32,0.00415,Mass,4.2,0,233,1089,85,5.03,0.02802,M3,3325,0.39,0.38,0.1,-1.708,4.89,3.9,8.99304,20.373,12.68,7.915,11.2364,Super Earth
GJ 1265 b,GJ 1265,1,1,3.6511,0.026,2.63,0.234,7.4,0.02328,Msini,2.24,0.04,,,,,,M4.5 V,3236,0.19,0.18,-0.04,-2.439,5.09,,,10.2525,14.01,8.115,12.0807,Neptune-like
GJ 143 b,GJ 143,1,2,35.61253,0.1915,2.61,0.233,22.7,0.07142,Mass,7,0.188,3.37,422,89.33,60.1,0.035,K4.5,4640,0.7,0.73,0.003,-0.686,4.61,3.8,3.03,16.32,8.08,5.375,7.67906,Neptune-like
GJ 15 A b,GJ 15 A,2,2,11.4407,0.072,1.55,0.139,3.03,0.00953,Msini,4.47,0.094,,550,,,,M1,3607,0.38,0.38,-0.34,-1.655,4.87,,8.37411,3.56228,8.09,4.018,7.2162,Super Earth
GJ 15 A c,GJ 15 A,2,2,7600,5.4,6.67,0.595,36,0.11327,Msini,0.667,0.27,,,,,,M1,3607,0.38,0.38,-0.34,-1.655,4.87,,8.37411,3.56228,8.09,4.018,7.2162,Neptune-like
GJ 160.2 b,GJ 160.2,1,1,5.2354,0.053,3.17,0.283,10.2,0.03209,Msini,1.76,0.06,,,,,,M0 V,4347,0.66,0.69,,-0.796,4.61,,3.12966,25.8557,9.7,6.702,9.20154,Neptune-like
GJ 163 b,GJ 163,1,3,8.63182,0.0607,3.25,0.29,10.6,0.03335,Msini,1.7,0.073,,,,,,M,3500,0.41,0.4,0.1,-1.708,4.82,6,8.24778,15.1285,11.79,7.135,10.6771,Neptune-like
GJ 163 c,GJ 163,1,3,25.63058,0.1254,2.5,0.223,6.8,0.0214,Msini,2.39,0.099,,,,,,M,3500,0.41,0.4,0.1,-1.708,4.82,6,8.24778,15.1285,11.79,7.135,10.6771,Neptune-like
GJ 163 d,GJ 163,1,3,603.95116,1.0304,5.92,0.528,29.4,0.0925,Msini,0.779,0.373,,,,,,M,3500,0.41,0.4,0.1,-1.708,4.82,6,8.24778,15.1285,11.79,7.135,10.6771,Neptune-like
GJ 179 b,GJ 179,1,1,2288,2.41,13.8,1.23,301.93699,0.95,Mass,0.631,0.21,,,61,,,M3.5 V,3370,0.38,0.36,0.3,-1.796,4.83,,9.67547,12.356,11.963,6.942,10.7055,Gas Giant
GJ 180 b,GJ 180,1,3,17.133,0.092,2.43,0.217,6.49,0.02042,Msini,2.49,0.07,,,,,,M2 V,3371,0.41,0.43,,-1.886,4.81,,8.12507,11.9407,10.914,6.598,9.93395,Neptune-like
GJ 180 c,GJ 180,1,3,24.329,0.129,2.41,0.215,6.4,0.02014,Msini,2.51,0.09,,,,,,M2 V,3371,0.41,0.43,,-1.886,4.81,,8.12507,11.9407,10.914,6.598,9.93395,Neptune-like
GJ 180 d,GJ 180,1,3,106.3,0.309,2.66,0.237,7.56,0.02379,Msini,2.21,0.14,,,,,,M3,3811.5,0.41,0.43,,-1.609,4.81,,8.12507,11.9407,10.914,6.598,9.93395,Neptune-like
GJ 2030 b,GJ 2030,1,2,2.38129,0.034,2.03,0.181,4.76743,0.015,Msini,3.13,0.239,,,,,,,5485,2.24,0.96,-0.4,0.612,3.72,,0.12025,37.0788,6.20902,4.417,6.02088,Super Earth
GJ 2030 c,GJ 2030,1,2,25533.11353,16.761,12.3,1.1,4069.15709,12.803,Mass,12,0.041,,,16.999,,,,5485,2.24,0.96,-0.4,0.612,3.72,,0.12025,37.0788,6.20902,4.417,6.02088,Gas Giant
GJ 2056 b,GJ 2056,1,1,69.971,0.283,4.17,0.372,16.2,0.05097,Msini,1.23,0.72,,,,,,M0V:,4069.95,0.71,0.62,,-0.905,4.48,,2.07397,28.4434,10.37,6.89,9.72281,Neptune-like
GJ 229 A c,GJ 229,2,2,121.93268,0.384,2.87,0.256,8.58137,0.027,Msini,1.99,0.366,,,,,,M1.5V,3912.54,0.46,0.51,,-1.222,4.69,0.4,4.64116,5.75624,8.15,4.166,7.30724,Neptune-like
GJ 229 b,GJ 229,2,2,579.47495,1.086,3.97,0.354,14.93794,0.047,Msini,1.31,0.404,,,,,,M1/M2 V,3564,0.46,0.51,,-1.553,4.69,0.4,4.64116,5.75624,8.15,4.166,7.30724,Neptune-like
GJ 251 b,GJ 251,1,1,14.238,0.0818,1.83,0.163,4,0.01259,Msini,3.59,0.1,2.53,351,,,,M3.0 V,3451,0.36,0.36,-0.03,-1.772,4.96,,10.05319,5.58057,9.89,5.275,8.85518,Super Earth
GJ 27.1 b,GJ 27.1,1,1,15.819,0.101,3.66,0.327,13,0.0409,Msini,1.46,0.08,,,,,,M0.5 V,3542,0.52,0.53,,-1.585,4.72,,5.21124,23.6062,11.45,7.394,10.579,Neptune-like
GJ 273 b,GJ 273,1,2,18.6498,0.091101,1.51,0.135,2.89,0.00909,Msini,4.61,0.1,1.06,,,,,M3.5,3382,0.29,0.29,0.09,-2.056,4.91,,13.19438,5.921535,9.84,4.857,,Super Earth
GJ 273 c,GJ 273,1,2,4.7234,0.036467,1.06,0.094,1.18,0.00371,Msini,5.44,0.17,6.66,,,,,M3.5,3382,0.29,0.29,0.09,-2.056,4.91,,13.19438,5.921535,9.84,4.857,,Super Earth
GJ 3021 b,GJ 3021,2,1,133.71,0.49,13.1,1.17,1071.04,3.37,Msini,2.62,0.511,,350,,,,G6 V,5540,0.9,0.9,0.1,-0.18,4.7,0.37,2.0094,17.5559,6.59,4.859,6.39729,Gas Giant
GJ 3082 b,GJ 3082,1,1,11.949,0.079,2.79,0.249,8.2,0.0258,Msini,2.07,0.22,,,,,,M4,3910,0.47,0.47,,-1.463,4.77,,6.47822,16.6186,11.041,6.966,10.2011,Neptune-like
GJ 3090 b,GJ 3090,1,1,2.853136,0.03165,2.13,0.19,3.34,0.01051,Mass,1.89,0.32,42.23,693,87.14,13.18,0.0379,M2 V,3556,0.52,0.52,-0.06,-1.342,4.73,,5.32,22.4751,11.403,7.294,10.5521,Neptune-like
GJ 3138 b,GJ 3138,1,3,1.22003,0.0197,1.18,0.106,1.78,0.0056,Msini,5.95,0.19,118.1,,,,,M0,3717,0.5,0.68,-0.3,-1.347,4.63,,3.47127,28.4712,10.8275,7.246,10.1924,Super Earth
GJ 3138 c,GJ 3138,1,3,5.974,0.057,1.88,0.167,4.18,0.01315,Msini,3.46,0.11,13.9,,,,,M0,3717,0.5,0.68,-0.3,-1.347,4.63,,3.47127,28.4712,10.8275,7.246,10.1924,Super Earth
GJ 3138 d,GJ 3138,1,3,257.8,0.698,3.23,0.288,10.5,0.03304,Msini,1.71,0.32,0.1,,,,,M0,3717,0.5,0.68,-0.3,-1.347,4.63,,3.47127,28.4712,10.8275,7.246,10.1924,Neptune-like
GJ 317 b,GJ 317,1,2,695.66,1.151,13.3,1.18,794.5,2.5,Mass,1.86,0.07,,,45,,,M2.5 V,3492.73,0.43,0.42,0.301,-1.687,4.82,5,7.64772,15.1968,12.4,7.028,10.7539,Gas Giant
GJ 317 c,GJ 317,1,2,6739.323,5.23,13.5,1.2,522.5,1.64396,Msini,1.17,0.17,,,,,,M2.5 V,3492.73,0.43,0.42,0.301,-1.687,4.82,5,7.64772,15.1968,12.4,7.028,10.7539,Gas Giant
GJ 3222 b,GJ 3222,1,1,10.66669,0.091,3.4,0.303,11.44182,0.036,Msini,1.6,0.929,,,,,,K0V,5257.46,0.93,0.89,0.16,-0.252,4.43,,,18.23817,6.9,4.767,,Neptune-like
